"Population using safely managed drinking-water services (%)"
"Dimension: Socio-economic sustainability"
"SDG 6.1 By 2030, achieve universal and equitable access to safe and affordable drinking water for all"
"Definition: Percentage of the population drinking water from an improved source that is accessible on premises, available when needed and free from faecal and priority chemical contamination. Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water"
"Source: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"69"," Albania","49","","49","","49","","49","","51","","53","","54","","56","","58","","60","","62","","64","","66","","68","","70","","70","","70","","70",""
"36"," Andorra","91","","91","","91","","91","","91","","91","","91","","91","","91","","91","","91","","91","","91","","91","","91","","91","","91","","91",""
"81"," Armenia","30","","30","","33","","37","","40","","44","","47","","51","","55","","58","","62","","65","","69","","72","","76","","79","","83","","86",""
"18"," Austria","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","99","","99","","99","","99","","99","","99","","99","","99",""
"88"," Azerbaijan","50","","50","","51","","51","","53","","56","","58","","61","","63","","66","","69","","70","","71","","71","","72","","72","","73","","74",""
"42"," Bahrain","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"133"," Bangladesh","56","","56","","56","","56","","56","","56","","56","","56","","56","","56","","56","","56","","56","","56","","56","","56","","55","","55",""
"53"," Belarus","81","","81","","81","","81","","83","","84","","85","","86","","88","","89","","90","","91","","92","","93","","94","","94","","94","","95",""
"14"," Belgium","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"129"," Bhutan","29","","29","","30","","30","","31","","31","","32","","32","","33","","33","","34","","34","","34","","35","","35","","36","","36","","36",""
"73"," Bosnia and Herzegovina","87","","87","","88","","88","","88","","88","","88","","88","","88","","88","","89","","89","","89","","89","","89","","89","","89","","89",""
"56"," Bulgaria","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97",""
"144"," Cambodia","17","","17","","18","","18","","19","","19","","20","","20","","21","","21","","22","","22","","23","","23","","24","","25","","25","","26",""
"16"," Canada","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","99","","99","","99","","99","","99","","99","","99","","99",""
"43"," Chile","92","","92","","93","","93","","94","","94","","95","","95","","96","","96","","97","","97","","97","","98","","98","","98","","98","","99",""
"83"," Colombia","68","","69","","69","","69","","70","","70","","71","","71","","71","","71","","72","","72","","72","","72","","73","","73","","73","","73",""
"149"," Congo","27","","28","","28","","28","","30","","31","","33","","35","","36","","38","","40","","41","","42","","43","","44","","44","","45","","45",""
"62"," Costa Rica","87","","87","","88","","88","","89","","89","","90","","90","","91","","91","","92","","92","","92","","93","","93","","93","","94","","94",""
"43"," Croatia","89","","89","","90","","90","","91","","91","","92","","93","","93","","93","","93","","92","","92","","91","","91","","90","","90","","90",""
"33"," Cyprus","95","","95","","95","","95","","96","","96","","97","","97","","98","","98","","99","","99","","99","","100","","100","","100","","100","","100",""
"27"," Czechia","96","","96","","96","","97","","97","","97","","97","","97","","97","","97","","97","","98","","98","","98","","98","","98","","98","","98",""
"162"," Côte d'Ivoire","34","","34","","34","","34","","34","","35","","35","","35","","35","","35","","35","","36","","36","","36","","36","","36","","36","","37",""
"10"," Denmark","94","","94","","94","","94","","94","","94","","95","","95","","95","","96","","96","","96","","97","","97","","97","","97","","97","","97",""
"86"," Ecuador","66","","67","","67","","68","","69","","69","","70","","70","","71","","71","","72","","72","","73","","73","","74","","74","","75","","75",""
"29"," Estonia","93","","93","","94","","94","","94","","94","","95","","95","","95","","95","","95","","95","","95","","95","","94","","94","","94","","93",""
"173"," Ethiopia","5","","5","","5","","6","","6","","6","","6","","7","","7","","7","","8","","8","","9","","9","","10","","10","","11","","11",""
"11"," Finland","92","","93","","94","","94","","95","","95","","96","","97","","97","","98","","98","","99","","100","","100","","100","","100","","100","","100",""
"26"," France","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","98","","98","","98","","98","","98",""
"61"," Georgia","75","","75","","75","","75","","76","","76","","77","","78","","78","","78","","79","","79","","79","","79","","79","","80","","80","","80",""
"6"," Germany","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"138"," Ghana","13","","13","","15","","16","","17","","18","","20","","21","","23","","24","","25","","27","","28","","30","","32","","33","","35","","36",""
"32"," Greece","99","","99","","99","","99","","99","","99","","99","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"74"," Grenada","79","","80","","81","","81","","82","","83","","84","","85","","86","","87","","87","","87","","87","","87","","87","","87","","87","","87",""
"127"," Guatemala","47","","47","","48","","48","","49","","49","","50","","51","","51","","52","","52","","53","","53","","54","","54","","55","","56","","56",""
"40"," Hungary","51","","51","","51","","51","","53","","56","","59","","62","","64","","67","","70","","73","","76","","78","","81","","84","","87","","90",""
"4"," Iceland","90","","90","","91","","91","","92","","93","","93","","94","","95","","95","","96","","96","","97","","98","","98","","99","","100","","100",""
"70"," Iran (Islamic Republic of)","91","","91","","91","","91","","91","","91","","91","","91","","91","","92","","92","","92","","92","","92","","92","","92","","92","","92",""
"123"," Iraq","50","","51","","51","","52","","52","","53","","53","","54","","54","","55","","55","","56","","56","","57","","57","","58","","58","","59",""
"2"," Ireland","93","","93","","94","","94","","94","","94","","95","","95","","95","","96","","96","","96","","96","","97","","97","","97","","97","","97",""
"19"," Israel","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","99","","99","","99",""
"29"," Italy","86","","87","","88","","88","","89","","89","","90","","90","","91","","91","","92","","92","","93","","93","","94","","94","","95","","95",""
"19"," Japan","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98",""
"102"," Jordan","94","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94",""
"51"," Kazakhstan","58","","58","","60","","62","","64","","65","","67","","69","","71","","73","","75","","77","","80","","82","","84","","86","","88","","90",""
".."," Korea (Democratic People's Rep. of)","69","","69","","69","","69","","69","","69","","69","","68","","68","","68","","68","","68","","67","","67","","67","","67","","67","","67",""
"23"," Korea (Republic of)","..","","..","","97","","97","","97","","97","","97","","97","","97","","97","","98","","98","","98","","98","","98","","98","","98","","98",""
"64"," Kuwait","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"120"," Kyrgyzstan","46","","46","","47","","47","","47","","49","","50","","52","","54","","55","","57","","59","","61","","63","","65","","66","","68","","68",""
