"Population using safely managed sanitation services (%)"
"Dimension: Socio-economic sustainability"
"SDG 6.2 By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations"
"Definition: Percentage of the population using an improved sanitation facility that is not shared with other households and where excreta are safely disposed of in situ or treated off site. Improved sanitation facilities include flush/pour flush toilets connected to piped sewer systems, septic tanks or pit latrines; pit latrines with slabs (including ventilated pit latrines, and composting toilets."
"Source: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"69"," Albania","39","","38","","38","","38","","38","","38","","38","","38","","38","","38","","39","","39","","39","","40","","40","","40","","40","","40",""
"91"," Algeria","19","","19","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18",""
"36"," Andorra","15","","22","","29","","36","","43","","51","","58","","65","","72","","79","","86","","94","","100","","100","","100","","100","","100","","100",""
"81"," Armenia","47","","47","","48","","48","","48","","48","","48","","48","","48","","48","","48","","48","","48","","48","","48","","48","","48","","48",""
"8"," Australia","64","","64","","64","","64","","64","","65","","66","","67","","68","","69","","69","","70","","71","","72","","73","","74","","75","","76",""
"18"," Austria","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97",""
"42"," Bahrain","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96",""
"53"," Belarus","90","","90","","90","","90","","89","","89","","88","","88","","87","","86","","86","","85","","84","","83","","83","","82","","80","","81",""
"14"," Belgium","86","","86","","86","","86","","86","","87","","88","","88","","89","","90","","90","","91","","92","","93","","95","","97","","97","","97",""
"107"," Bolivia (Plurinational State of)","13","","13","","14","","14","","15","","15","","15","","16","","17","","17","","18","","19","","19","","20","","21","","22","","22","","23",""
"73"," Bosnia and Herzegovina","19","","19","","19","","19","","19","","19","","19","","19","","20","","20","","20","","20","","20","","20","","21","","21","","21","","22",""
"84"," Brazil","27","","27","","27","","27","","27","","28","","28","","30","","31","","33","","35","","37","","39","","41","","43","","45","","47","","49",""
"56"," Bulgaria","48","","48","","48","","48","","48","","48","","48","","48","","48","","49","","51","","53","","55","","57","","59","","61","","62","","64",""
"16"," Canada","77","","77","","77","","77","","78","","79","","79","","80","","81","","81","","82","","83","","83","","83","","82","","82","","82","","82",""
"43"," Chile","48","","49","","49","","49","","51","","53","","55","","57","","59","","61","","63","","65","","67","","69","","72","","74","","76","","77",""
"85"," China","27","","27","","28","","29","","32","","34","","36","","39","","42","","45","","48","","51","","54","","57","","61","","65","","68","","72",""
"83"," Colombia","13","","14","","14","","14","","14","","15","","15","","15","","15","","15","","16","","16","","16","","16","","16","","17","","17","","17",""
"43"," Croatia","58","","58","","58","","58","","58","","58","","58","","58","","58","","58","","58","","58","","58","","58","","58","","58","","58","","58",""
"70"," Cuba","34","","34","","34","","34","","34","","35","","35","","36","","37","","38","","38","","39","","40","","41","","42","","43","","44","","44",""
"33"," Cyprus","76","","76","","76","","76","","76","","76","","76","","76","","76","","76","","76","","76","","76","","76","","76","","76","","76","","75",""
"27"," Czechia","84","","84","","84","","84","","84","","85","","86","","87","","88","","88","","89","","90","","91","","92","","93","","93","","94","","94",""
"10"," Denmark","92","","92","","92","","92","","92","","92","","92","","92","","92","","93","","93","","93","","94","","94","","94","","95","","95","","95",""
"166"," Djibouti","26","","26","","26","","26","","26","","27","","28","","28","","29","","30","","31","","32","","32","","33","","34","","35","","36","","36",""
"86"," Ecuador","41","","41","","41","","41","","42","","42","","42","","42","","42","","42","","42","","42","","42","","42","","42","","42","","42","","42",""
"116"," Egypt","54","","54","","54","","54","","54","","55","","55","","56","","56","","57","","57","","58","","58","","59","","59","","60","","60","","61",""
"29"," Estonia","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","97","","97","","97","","97","","97",""
"11"," Finland","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"26"," France","89","","89","","89","","89","","89","","89","","89","","89","","89","","89","","89","","89","","89","","89","","89","","88","","88","","88",""
