Sex ratio of the total population (males per 100 females),,,,,,,,,,,,,,,,,
ISO 3166-1 numeric code,Location,Note,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
900,World,,,,,,,,,,,,,,,,
1840,   Geographic regions,i,,,,,,,,,,,,,,,
903,      Africa,j,98.8,98.8,99.1,99.1,99.3,99.4,99.6,99.5,99.5,99.4,99.3,99.4,99.5,99.7,99.9
935,      Asia,k,104.9,104.7,104.5,104.4,104.3,104.3,104.4,104.4,104.6,104.6,104.6,104.8,104.9,104.8,104.7
908,      Europe,l,87.6,88.6,89.6,90.6,91.2,91.7,92.0,92.3,92.8,92.9,92.9,92.9,92.9,93.1,93.4
904,      Latin America and the Caribbean,m,100.0,99.9,99.8,99.7,99.6,99.4,99.2,98.7,98.4,97.9,97.6,97.3,97.2,97.0,96.8
905,      Northern America,n,99.8,99.1,98.5,98.1,97.4,97.1,96.5,96.5,96.3,96.7,97.2,97.5,97.7,97.9,98.0
909,      Oceania,o,103.7,103.5,103.0,102.3,101.8,101.3,100.6,100.6,100.3,100.0,100.2,100.2,100.6,100.2,100.2
1828,   Sustainable Development Goal (SDG) regions,p,,,,,,,,,,,,,,,
947,      Sub-Saharan Africa,,98.0,98.1,98.3,98.5,98.7,98.9,99.1,99.1,99.0,98.9,98.9,99.0,99.1,99.4,99.6
910,         Eastern Africa,,98.3,98.4,98.4,98.5,98.5,98.6,98.9,98.8,98.6,98.2,98.0,97.9,98.0,98.3,98.5
108,            Burundi,,91.9,92.6,93.3,94.0,94.5,94.2,94.2,94.5,96.0,95.5,96.5,97.2,97.7,98.1,98.5
174,            Comoros,,98.8,98.9,99.0,99.2,99.4,99.6,99.8,100.2,100.6,100.9,101.2,101.4,101.6,101.7,101.8
262,            Djibouti,,98.6,98.7,98.8,99.0,99.1,99.3,101.8,101.6,101.2,101.3,101.1,101.0,113.7,112.1,110.7
232,            Eritrea,,98.2,98.4,98.8,99.1,99.4,99.5,99.7,99.8,100.0,99.1,99.1,99.6,99.9,100.4,100.5
231,            Ethiopia,,98.6,98.7,98.8,98.9,99.0,99.2,99.1,99.1,99.5,99.4,99.4,99.5,99.6,100.0,100.1
404,            Kenya,,101.7,101.2,100.8,100.1,99.7,99.4,99.4,99.4,99.3,98.9,98.6,98.5,98.6,98.7,98.8
450,            Madagascar,,105.9,104.5,103.4,102.5,101.8,101.1,100.6,100.1,99.7,99.4,99.2,99.2,99.3,99.4,99.6
454,            Malawi,,92.3,94.2,95.7,96.8,97.7,98.3,98.9,99.1,98.3,98.4,97.5,96.9,96.9,97.1,97.3
480,            Mauritius,1,99.2,99.2,99.5,100.0,100.1,97.4,97.3,98.5,99.5,99.4,98.4,98.3,98.3,98.1,97.4
175,            Mayotte,2,119.7,116.9,115.3,113.6,110.5,108.0,106.1,106.5,104.6,103.2,102.4,97.2,95.6,96.5,96.8
508,            Mozambique,,95.6,95.7,95.8,95.9,96.0,96.2,96.2,95.5,91.5,91.1,91.6,92.5,93.2,93.8,94.5
638,            Réunion,2,92.1,93.7,94.6,94.9,93.0,94.2,95.4,95.4,95.7,95.5,95.3,96.4,93.9,93.9,93.8
646,            Rwanda,,96.6,96.5,96.5,96.5,96.6,96.7,96.9,97.2,97.3,94.7,95.5,95.8,96.1,96.5,96.7
690,            Seychelles,,90.5,93.1,95.6,97.7,100.3,102.5,102.0,101.9,99.5,100.3,99.3,99.9,106.6,106.0,105.3
706,            Somalia,,98.6,98.2,97.9,97.8,97.8,97.8,103.9,102.1,101.0,100.6,100.3,100.1,99.8,99.5,99.4
728,            South Sudan,,104.1,102.2,100.9,100.0,99.5,99.1,98.9,98.8,98.8,99.0,99.2,99.6,99.9,100.1,100.2
800,            Uganda,,99.5,99.1,99.0,98.9,99.0,99.1,99.2,99.2,98.7,97.6,97.0,97.1,96.4,96.5,97.2
